building_id,city,area,community,complex,building
1562,dubai,dubai harbour,damac bay by cavalli,,damac bay tower a
1563,dubai,dubai harbour,damac bay by cavalli,,damac bay tower b
1564,dubai,dubai harbour,damac bay by cavalli,,damac bay tower c
1565,dubai,sobha hartland,the crest,,the crest tower b
1566,dubai,sobha hartland,the crest,,the crest tower c
1567,dubai,sobha hartland,the crest,,the crest tower a
1568,dubai,sobha hartland,the crest,,the crest tower d
1569,dubai,sobha hartland,sobha creek vistas heights,,sobha creek vistas heights tower a
1570,dubai,sobha hartland,sobha creek vistas heights,,sobha creek vistas heights tower b
1571,dubai,sobha hartland,sobha creek vistas,,sobha creek vistas tower a
1572,dubai,sobha hartland,sobha creek vistas,,sobha creek vistas tower b
1573,dubai,sobha hartland,hartland greens,,building 1
1574,dubai,sobha hartland,hartland greens,,building 2
1575,dubai,sobha hartland,hartland greens,,building 6
1576,dubai,sobha hartland,hartland greens,,building 3
1577,dubai,sobha hartland,hartland greens,,building 4
1578,dubai,sobha hartland,hartland greens,,building 5
1579,dubai,sobha hartland,sobha creek vistas reserve,,sobha creek vistas reserve tower b
1580,dubai,sobha hartland,sobha creek vistas reserve,,sobha creek vistas reserve tower a
1581,dubai,sobha hartland,kensington waters,,kensington waters tower a
1582,dubai,sobha hartland,kensington waters,,kensington waters tower b
1583,dubai,sobha hartland,wilton park residences,,wilton park residences ii
1584,dubai,sobha hartland,wilton park residences,,wilton park residences i
1585,dubai,sobha hartland,the terraces,,the terraces north
1586,dubai,sobha hartland,the terraces,,the terraces south
1587,dubai,damac lagoons,lagoon views,,lagoon views 2 tower a
1588,dubai,damac lagoons,lagoon views,,lagoon views 2 tower c
1589,dubai,damac lagoons,lagoon views,,lagoon views 2 tower b
1590,dubai,damac lagoons,lagoon views,,lagoon views 1 tower a
1591,dubai,damac lagoons,lagoon views,,lagoon views 1 tower b
1592,ras al khaimah,al marjan island,pacific,,pacific bora bora
1593,ras al khaimah,al marjan island,pacific,,pacific samoa
1595,ras al khaimah,al marjan island,pacific,,polynesia
1596,ras al khaimah,al marjan island,pacific,,tahiti
1597,sharjah,aljada,nasaq,,nasaq 1
1598,sharjah,aljada,nasaq,,nasaq 6
1599,sharjah,aljada,nasaq,,nasaq 4
1600,sharjah,aljada,nasaq,,nasaq 3
1601,sharjah,aljada,misk apartments,,misk 4
1602,sharjah,aljada,misk apartments,,misk 1
1603,sharjah,aljada,misk apartments,,misk 2
1604,ras al khaimah,al marjan island,bab al bahr residences,,kahraman building
1607,sharjah,aljada,east village,,the link 1
1608,sharjah,aljada,east village,,the riff 3
1609,sharjah,aljada,east village,,the solo
1610,ajman,al rashidiya,al rashidiya 3,,ajman one towers
1611,ajman,al rashidiya,al rashidiya 3,,ajman one phase 2
1612,sharjah,aljada,il teatro residences,,il teatro residences 1
1613,sharjah,aljada,il teatro residences,,il teatro residences 1
1618,ajman,al rashidiya,al rashidiya 2,,falcon towers
1621,ras al khaimah,mina al arab,hayat island,,cape hayat
1622,ras al khaimah,mina al arab,hayat island,,marbella villas
1623,ras al khaimah,mina al arab,hayat island,,bay residences
1624,ras al khaimah,mina al arab,hayat island,,porto playa
1625,ras al khaimah,mina al arab,hayat island,,gateway ii residences
1626,ras al khaimah,mina al arab,hayat island,,bayviews
1627,ras al khaimah,mina al arab,hayat island,,nasim lofts
1628,ras al khaimah,mina al arab,quattro del mar,,quattro del mar building 4
1629,ras al khaimah,mina al arab,quattro del mar,,quattro del mar building 2
1630,ras al khaimah,mina al arab,quattro del mar,,quattro del mar building 1
1631,sharjah,muwaileh,al zahia,,uptown al zahia
1632,sharjah,muwaileh,al zahia,,al zahia garden apartments
1633,sharjah,muwaileh,al zahia,,al lilac
1634,sharjah,muwaileh,al zahia,,al jouri
1635,sharjah,muwaileh,al zahia,,al narjis
1636,sharjah,tilal city,masaar,,saro
1639,sharjah,tilal city,masaar,,robinia
1640,sharjah,tilal city,masaar,,azalea
1641,sharjah,tilal city,masaar,,sequoia
1642,sharjah,tilal city,masaar,,sarai
1643,ajman,al nuaimiya,al nuaimiya 3,,city tower
1644,ajman,al nuaimiya,al nuaimiya 1,,nuaimia one tower
1646,sharjah,sharjah waterfront city,ajmal makan,,sun island
1653,sharjah,al rahmaniya,shaghrafa 1,,sharjah sustainable city
1661,ajman,emirates city,paradise lakes,,paradise lakes b5
1662,ajman,emirates city,paradise lakes,,paradise lakes b9
1663,ajman,emirates city,paradise lakes,,paradise lakes b6
1664,ajman,emirates city,goldcrest dream towers,,goldcrest dreams tower b
1665,ajman,emirates city,goldcrest dream towers,,goldcrest dreams tower a
1666,ajman,emirates city,lake view tower,,lake view tower 2
1667,ajman,al zorah,district 9,,the strip
1668,sharjah,al khan,maryam island,,maryam gate residences
1669,sharjah,al khan,maryam island,,topaz residences
1671,sharjah,al khan,maryam island,,aysha residences
1672,sharjah,al khan,maryam island,,sapphire beach residence by eagle hills
1673,sharjah,al khan,maryam island,,cyan beach residence by eagle hills
1674,sharjah,al khan,maryam island,,indigo beach residence
1675,sharjah,al khan,maryam island,,jawaher residence
1677,sharjah,al khan,maryam island,,azure beach residence by eagle hills
1678,ajman,al zorah,the fairways,,golf villas
1679,ajman,al zorah,the shores,,seaside hills residence
1680,ajman,al zorah,beach village,,beach hills villas
1683,abu dhabi,al reef,al reef downtown,,building 21
1684,dubai,jumeirah lake towers (jlt),jlt cluster h,,concorde tower
1687,dubai,dubai marina,jlt cluster h,,la residencia del mar
1688,dubai,dubai marina,marina gate,,marina hotel apartments
1689,dubai,dubai marina,al sahab tower,,al sahab tower
1690,dubai,dubai marina,al sahab tower,,barcelo residences
1691,dubai,dubai marina,al sahab tower,,durrat al marsa
1692,sharjah,al majaz,al majaz 2,,palm tower 3
1693,sharjah,al majaz,al majaz 2,,al ferasa tower
1694,dubai,jumeirah lake towers (jlt),jlt cluster c,,fortune tower
1695,dubai,jumeirah lake towers (jlt),jlt cluster c,,icon tower 1
1696,dubai,jumeirah lake towers (jlt),jlt cluster c,,lake point tower
1697,dubai,business bay,jlt cluster c,,silver tower
1698,dubai,jumeirah lake towers (jlt),jlt cluster c,,lake view tower
1699,dubai,jumeirah lake towers (jlt),jlt cluster k,,mbl residence
1700,dubai,jumeirah lake towers (jlt),jlt cluster c,,palladium tower
1701,sharjah,al majaz,al majaz 2,,al noor tower sharjah
1702,dubai,jumeirah lake towers (jlt),al majaz 2,,red diamond
1703,dubai,jumeirah lake towers (jlt),al majaz 2,,one jlt
1704,dubai,jumeirah lake towers (jlt),al majaz 2,,lake shore tower
1705,dubai,business bay,al majaz 2,,eni coral tower
1706,dubai,business bay,al majaz 2,,art xiv14
1707,dubai,business bay,al majaz 2,,jw marriott marquis hotel
1708,dubai,business bay,al majaz 2,,millennium central downtown
1709,dubai,business bay,bay square,,bay square building 4
1710,dubai,business bay,bay square,,the citadel tower
1711,dubai,business bay,bay square,,sobha ivory 1
1712,dubai,business bay,bay square,,prism tower
1713,dubai,business bay,bay square,,aspect tower (executive tower d)
1714,dubai,business bay,bay square,,churchill executive
1715,dubai,business bay,bay square,,sobha sapphire
1716,dubai,business bay,bay square,,empire heights 2
1717,dubai,business bay,bay square,,dg1 living
1718,dubai,business bay,canal crown,,canal crown
1719,dubai,business bay,canal crown,,chic tower
1720,dubai,business bay,peninsula,,peninsula four
1721,dubai,business bay,peninsula,,the crestmark
1722,dubai,business bay,peninsula,,the paragon
1723,dubai,business bay,peninsula,,the quayside
1724,dubai,business bay,aykon city,,safa two
1725,dubai,business bay,aykon city,,manazel al safa
1726,dubai,business bay,aykon city,,damac business tower
1727,dubai,business bay,aykon city,,regal tower
1728,dubai,business bay,aykon city,,lake central
1729,dubai,jumeirah village circle (jvc),jvc district 11,,al waleed residence
1730,dubai,jumeirah village circle (jvc),jvc district 10,,laya residences
1731,dubai,palm jumeirah,shoreline apartments,,al habool
1732,dubai,palm jumeirah,tiara residences,,tiara diamond
1733,dubai,palm jumeirah,w residences,,sarai apartments
1734,dubai,palm jumeirah,royal amwaj residences,,anantara residences south
1735,dubai,palm jumeirah,royal amwaj residences,,como residences
